Open time,Open,High,Low,Close
5/23/2022,30293.93,30670.51,28866.35,29109.15
5/24/2022,29109.14,29845.86,28669,29654.58
5/25/2022,29654.58,30223.74,29294.21,29542.15
5/26/2022,29542.14,29886.64,28019.56,29201.35
5/27/2022,29201.35,29397.66,28282.9,28629.8
5/28/2022,28629.81,29266,28450,29031.33
5/29/2022,29031.33,29587.78,28839.21,29468.1
5/30/2022,29468.1,32222,29299.62,31734.22
5/31/2022,31734.23,32399,31200.01,31801.04
6/1/2022,31801.05,31982.97,29301,29805.83
6/2/2022,29805.84,30689,29594.55,30452.62
6/3/2022,30452.63,30699,29282.36,29700.21
6/4/2022,29700.21,29988.88,29485,29864.04
6/5/2022,29864.03,30189,29531.42,29919.21
6/6/2022,29919.2,31765.64,29890.23,31373.1
6/7/2022,31373.1,31589.6,29218.96,31125.33
6/8/2022,31125.32,31327.22,29843.88,30204.77
6/9/2022,30204.77,30700,29944.1,30109.93
6/10/2022,30109.93,30382.8,28850,29091.88
6/11/2022,29091.87,29440.41,28099.99,28424.7
6/12/2022,28424.71,28544.96,26560,26574.53
6/13/2022,26574.53,26895.84,21925.77,22487.41
6/14/2022,22485.27,23362.88,20846,22136.41
6/15/2022,22136.42,22800,20111.62,22583.72
6/16/2022,22583.72,22995.73,20232,20401.31
6/17/2022,20400.6,21365.43,20246.66,20468.81
6/18/2022,20468.81,20792.06,17622,18970.79
6/19/2022,18970.79,20815.95,17960.41,20574
6/20/2022,20574,21090,19637.03,20573.89
6/21/2022,20573.9,21723,20348.4,20723.52
6/22/2022,20723.51,20900,19770.51,19987.99
6/23/2022,19988,21233,19890.07,21110.13
6/24/2022,21110.12,21558.41,20736.72,21237.69
6/25/2022,21237.68,21614.5,20906.62,21491.19
6/26/2022,21491.18,21888,20964.73,21038.07
6/27/2022,21038.08,21539.85,20510,20742.56
6/28/2022,20742.57,21212.1,20202.01,20281.29
6/29/2022,20281.28,20432.31,19854.92,20123.01
6/30/2022,20123,20179.08,18626,19942.21
7/1/2022,19942.21,20918.35,18975,19279.8
7/2/2022,19279.8,19467.39,18977.01,19252.81
7/3/2022,19252.82,19647.63,18781,19315.83
7/4/2022,19315.83,20354.01,19055.31,20236.71
7/5/2022,20236.71,20750,19304.4,20175.83
7/6/2022,20175.84,20675.22,19761.25,20564.51
7/7/2022,20564.51,21838.1,20251.68,21624.98
7/8/2022,21624.99,22527.37,21189.26,21594.75
7/9/2022,21594.75,21980,21322.12,21591.83
7/10/2022,21592.15,21607.65,20655,20862.47
7/11/2022,20861.11,20868.48,19875.23,19963.61
7/12/2022,19963.61,20059.42,19240,19328.75
7/13/2022,19331.28,20366.61,18910.94,20234.87
